text,label,departure,arrival,vehicle
cho tôi một grab đến 123 nguyễn chí thanh,ride,,124 nguyễn chí thanh,
cho tôi xin một xe đến 43 lê văn lương,ride,,44 mai chí thọ,
"bạn ơi, làm ơn cho một grab car 4 chỗ. đến hoàng đạo thuý nhé, số 29",ride,,30 võ văn kiệt,
ê đặt dùm xe từ hồ xuân hương đến bệnh viện 198 nhé. xe 7 chỗ,ride,hồ xuân hương,bệnh viện 115,xe 7 chỗ
một xe 4 chỗ đến bệnh viện từ dũ gấp ,ride,,bệnh viện từ dũ,xe bốn chỗ
cho một xe từ nhà tôi đến công ty nhé,ride,nhà,công ty,
đặt xe 7 chỗ đến cơ quan,ride,,cơ quan,xe 7 chỗ
cho xe gì cũng được đến nhà tôi gấp. đến công an quận thanh xuân,ride,nhà ,công an quận thanh xuân,
chở tôi đến bệnh viện gần nhất. xe 4 chỗ,ride,,bệnh viện,xe 4 chỗ
alo cho ngay xe đến trường đại học bách khoa nhé,ride,,trường đại học bách khoa,
"ngân hàng acb gần nhất ở đâu, cho tớ đến đấy",ride,,ngân hàng acb,
từ nhà tới hồ gươm bao tiền nhỉ,ride,nhà ,hồ gươm ,
"có xe đến khuất duy tiến không, số 12 ấy",ride,,12 khuất duy tiến,
xe cho 5 người đi công viên nước hồ tây,ride,,công viên nước hồ tây,
chú ơi cho cháu xe máy đi nhà sách mua sách nhé. nhà sách nhã nam,ride,,nhà sách nhã nam,xe máy
cho xe đến central point,ride,,central point,
đi làm,ride,,công ty,
cho một xe taxi cả nhà đi sở thú,ride,,sở thú,xe taxi
đặt gấp xe 7 chỗ đi tam đảo ngay,ride,,tam đảo,xe 7 chỗ
cho xe đến nhà đón vợ con tôi đi vinmart nhé. xe hơi. 4 chỗ,ride,nhà ,vinmart ,xe hơi 4 chỗ 
"grab ơi đến ngay toà nhà hapulico nhé, tôi cần đến 30 shines nguyễn trãi",ride,toà nhà hapulico ,30 shines nguyễn trãi,
chở tôi đến công viên thống nhất,ride,,công viên thống nhất,
cho tôi một xe hơi đến hố bơi hapulico,ride,,hồ bơi hapulico,xe hơi
"cà phê xoan ở đâu nhỉ, cho tôi đến đấy",ride,,cà phê xoan,
cho một xe 4 chỗ đi 34 nguyễn tuân. từ 12 khuất duy tiến,ride,,,
,ride,,,
,ride,,,
,ride,,,
,ride,,,
,ride,,,
,ride,,,
,ride,,,
,ride,,,
,ride,,,
,ride,,,
,ride,,,
,ride,,,
,ride,,,
,ride,,,
,ride,,,
,ride,,,
,ride,,,
,ride,,,
,ride,,,
,ride,,,
,ride,,,
,ride,,,
,ride,,,
,ride,,,
,ride,,,
