text,label,departure,arrival,vehicle
cho tôi một grab đến 123 nguyễn chí thanh,ride,,124 nguyễn chí thanh,
cho tôi xin một xe đến 43 lê văn lương,ride,,44 mai chí thọ,
"bạn ơi, làm ơn cho một grab car 4 chỗ. đến hoàng đạo thuý nhé, số 29",ride,,30 võ văn kiệt,
ê đặt dùm xe từ hồ xuân hương đến bệnh viện 198 nhé. xe 7 chỗ,ride,hồ xuân hương,bệnh viện 115,xe 7 chỗ
một xe 4 chỗ đến bệnh viện từ dũ gấp ,ride,,bệnh viện từ dũ,xe 4 chỗ
cho một xe từ nhà tôi đến công ty nhé,ride,nhà,công ty,
đặt xe 7 chỗ đến cơ quan,ride,,cơ quan,xe 7 chỗ
cho xe gì cũng được đến nhà tôi gấp. đến công an quận thanh xuân,ride,nhà ,công an quận thanh xuân,
chở tôi đến bệnh viện gần nhất. xe 4 chỗ,ride,,bệnh viện,xe 4 chỗ
alo cho ngay xe đến trường đại học bách khoa nhé,ride,,trường đại học bách khoa,
"ngân hàng acb gần nhất ở đâu, cho tớ đến đấy",ride,,ngân hàng acb,
từ nhà tới hồ gươm bao tiền nhỉ,ride,nhà ,hồ gươm ,
"có xe đến khuất duy tiến không, số 12 ấy",ride,,12 khuất duy tiến,
xe cho 5 người đi công viên nước hồ tây,ride,,công viên nước hồ tây,
chú ơi cho cháu xe máy đi nhà sách mua sách nhé. nhà sách nhã nam,ride,,nhà sách nhã nam,xe máy
cho xe đến central point,ride,,central point,
đi làm,ride,,công ty,
cho một xe taxi cả nhà đi sở thú,ride,,sở thú,xe taxi
đặt gấp xe 7 chỗ đi tam đảo ngay,ride,,tam đảo,xe 7 chỗ
cho xe đến nhà đón vợ con tôi đi vinmart nhé. xe hơi. 4 chỗ,ride,nhà ,vinmart ,xe hơi 4 chỗ 
"grab ơi đến ngay toà nhà hapulico nhé, tôi cần đến 30 shines nguyễn trãi",ride,toà nhà hapulico ,30 shines nguyễn trãi,
chở tôi đến công viên thống nhất,ride,,công viên thống nhất,
cho tôi một xe hơi đến hố bơi hapulico,ride,,hồ bơi hapulico,xe hơi
"cà phê xoan ở đâu nhỉ, cho tôi đến đấy",ride,,cà phê xoan,
cho một xe 4 chỗ đi 34 nguyễn tuân. từ 12 khuất duy tiến,ride,12 khuất duy tiến,34 nguyễn tuân,xe 4 chỗ 
chở tôi đi ăn cháo sườn chợ đồng xuân,ride,,chợ đồng xuân,
xe grab 7 chỗ. đi timecity ,ride,,timecity ,xe grab 7 chỗ
đặt xe đi đền kim liên. xe 4 chỗ,ride,,đền kim liên,xe 4 chỗ
cho xe đi 67 láng hạ ,ride,,67 láng hạ,
tôi muốn đến đại học công nghệ thông tin,ride,,đại học công nghệ thông tin,
đi công viên thủ lệ mấy tiền,ride,,công viên thủ lệ,
cho xe 7 chỗ đi 88 lê văn thiêm,ride,,88 lê văn thiêm,xe 7 chỗ 
xe grab đi 56 hàng than,ride,,56 hàng than,
cho đặt một xe honda đi chợ đồng xuân,ride,,chợ đồng xuân,xe honda
này cho xe hơi đi số 9 quan nhân,ride,,9 quan nhân,xe hơi 
cho 1 grab ô tô đến imperia garden nhé. 143 nguyễn tuân. đi ngã tư sở,ride,"imperia garden, 143 nguyễn tuân",ngã tư sở,grab ô tô
đặt cho tôi đi 80 phố huế. đón ở 13 nguyễn trãi. xe 7 chỗ nhé,ride,13 nguyễn trãi,80 phố huế,xe 7 chỗ
1 grab bike đi The coffee house hoàng đạo thuý,ride,,the coffee house hoàng đạo thuý,grab bike
cho một grab car 4 chỗ đi bến xe giáp bát,ride,,bến xe giáp bát,grab car 4 chỗ
đặt xe từ số 3 hàng mã đi long biên,ride,3 hàng mã,long biên,
cho xe đón ở bệnh viện bạch mai đi về nhà. grab ô tô 7 chỗ,ride,bệnh viện bạch mai ,nhà ,grab ô tô 7 chỗ
grab bike ơi đón tôi đi làm ,ride,,công ty,"grab bike "
đặt xe đi 20 hoàng đạo thuỳ,ride,,20 hoàng đạo thuỳ,
đến cổng trường đại học y dược đón tôi. đi big c thăng long,ride,đại học y dược,big c thăng long,
cho xe ô tô đi nhà hàng buffet maison sens ,ride,,nhà hàng buffet maison sens,xe ô tô
cho 1 xe đi sumo bbq nhé. royal city,ride,,sumo bbq royal city,
đặt một xe grab đi trill rooftop cafe. xe 4 chỗ,ride,,trill rooftop cafe,xe 4 chỗ
này cho xe đến cổng trường amsterdam đón con tôi về nhà nhé,ride,trường amsterdam,nhà ,
xe gắn máy đến chợ nhân chính ,ride,,chợ nhân chính,xe gắn máy
cho tôi một xe hơi đi 10 cổ nhuế,ride,,10 cổ nhuế ,xe hơi
